;hsa;hsb;hsc;hsl;dis a b;dis a c;dis a l;dis b c;dis b l;dis c l
0;;Daz bůch heizzet div chintheit vnſers herren Ieſu χρ̃ι;;;1,0;1,0;1,0;1,0;1,0;1,0
1;Gænedik vn̄ gewaltik got;Gnædich vnde gewaltich got;Genaͤdig vn̄ gewaltig got;Genædich vnt gewaltech Got;0,31;0,2;0,35;0,35;0,19;0,35
2;din haliger wille vn̄ din gebot;dein helig͛ wille vn̄ dein gebot;din hailig wille vn̄ din gebot;din heiliger wille vnt din gebot;0,16;0,1;0,09;0,16;0,19;0,12
3;mvͤzze an vnſ alſo ergen;mvzze an vns allen ergen;Muͤſſe an uͥnſ alſo ergan;mvͤze an vns ſo er gen;0,21;0,28;0,21;0,48;0,29;0,44
4;daʒ wir froͤlich erſten;daz wir froͤlichen erſten;Dc wir vroͤlich erſtan;daz wir vroͤliche erſten;0,12;0,22;0,12;0,28;0,08;0,21
5;and͛ iungiſten vrſtende;Ande͛ ivngiſten vrſtende;Ʒe dem iugſten urſtende;an der ivngeſten vrſtende;0,12;0,35;0,2;0,33;0,16;0,28
6;vn̄ zvͦ diner ʒeſewen hende;Vn̄ zedin͛ zeſwen hende;Ʒuͦ der ʒeſmen hende;vnt zvͦ diner zeſwen hende;0,3;0,37;0,11;0,43;0,27;0,38
7;mit den guͦten ſin erwelt;Mit den guͦten ſiͤn erwelt;Mit den rehten ſin erwelt;mit den gvͦten ſin erwelt;0,08;0,16;0,04;0,15;0,12;0,16
8;vn̄ niht werden ver ſelt;daz wir nicht w͛den verſelt;vnd nuͥt werden u͛ſchelt;daz wir niht werden ver ſelt;0,41;0,33;0,25;0,63;0,14;0,5
9;zvͦ dem ewigē valle;Zuͦ dem ewigem valle;ʒe ewigem walle;zvͦ dem ewigem valle;0,15;0,4;0,05;0,35;0,1;0,35
10;da d͛ tiefel vn̄ die ſinen alle;da der tivel vn̄ die ſiͤnen alle;Da der tievel vn̄ ſine alle;da der tivel vnt din ſin alle;0,16;0,29;0,26;0,25;0,16;0,28
11;an ende ver fluͦchet ſint;An ende v͛fluchet ſint;An ende u͛fluͤchet ſint;an ende verflvͦchet ſint;0,2;0,24;0,08;0,09;0,21;0,25
12;goteſ vn̄ menſchen kint;goteſ vn̄ deſ menſchen kint;Gottes vn̄ menſchen kint;Got vnt menneſſchen chint;0,15;0,12;0,36;0,26;0,41;0,36
13;laz vns deʒ genieʒʒen;Lazze vns deſ geniezzen;Las vͥnſ des genieſſen;nvͦ laze vns deſ geniezzen;0,26;0,32;0,31;0,35;0,23;0,46
14;daʒ dv wolteſt entſliezzen;daz dv geruͦcheſt zeſliezzen;Daſ du geruͦches entſlieſſen;daz dvͦ rvͦcheſt enſliezzen;0,39;0,5;0,3;0,36;0,21;0,43
15;die verſigelten porten;Die verſigelten porten;Die vor geſigelten porte;di ver ſigelten porten;0,05;0,25;0,09;0,21;0,14;0,25
16;do von deſ engels worten;da von des engels worten;Do uon des englſ worte;do von deſ engels worten;0,08;0,25;0,0;0,25;0,08;0,25
